Device1,Device2,Latency,Bandwidth,Uptime,Shared
SEO1,TYO2,4.50,10,0.99,NA
TYO1,LAX1,57.62,10,0.99,NA
TYO1,SIN1,44.95,10,0.99,NA
SIN1,LAX1,121.56,10,0.99,NA
SIN1,SIN2,0.20,10,0.99,NA
SIN2,FRA2,52.42,10,0.99,NA
LAX1,LAX2,0.30,10,0.99,NA
LAX1,NYC1,25.72,10,0.99,NA
NYC1,NYC4,0.10,10,0.99,NA
NYC2,NYC4,0.10,10,0.99,NA
NYC3,NYC4,0.10,10,0.99,NA
NYC3,BAR1,55.32,10,0.99,NA
NYC2,LON2,45.60,10,0.99,NA
LON1,AMS1,1.45,10,0.99,NA
LON1,FRA1,4.96,10,0.99,NA
AMS1,FRA1,2.11,10,0.99,NA
FRA1,FRA2,0.40,10,0.99,NA
