"City1","City2","Latency"
"AMS","BAR",152.39
"AMS","FRA",4.85
"AMS","LAX",119.55
"AMS","LON",4.78
"AMS","NYC",78.43
"AMS","SEO",114.46
"AMS","SIN",140.04
"AMS","TYO",124.24
"BAR","FRA",152.91
"BAR","LAX",131.19
"BAR","LON",148.14
"BAR","NYC",113.32
"BAR","SEO",259.32
"BAR","SIN",212.01
"BAR","TYO",245.21
"FRA","LAX",124.39
"FRA","LON",8.49
"FRA","NYC",82.94
"FRA","SEO",114.41
"FRA","SIN",136.96
"FRA","TYO",124.86
"LAX","LON",117.1
"LAX","NYC",52.63
"LAX","SEO",128.18
"LAX","SIN",188.57
"LAX","TYO",117.88
"LON","NYC",74.52
"LON","SEO",118.48
"LON","SIN",144.8
"LON","TYO",127.85
"NYC","SEO",147.8
"NYC","SIN",204.68
"NYC","TYO",145.07
"SEO","SIN",62.16
"SEO","TYO",15.41
"SIN","TYO",70.8
